Trainingstyp;Datum;Disziplin;Schuss;Waffe;Visier;Entf;Anschlag;Resultat;Zeit;10.0;10.5.;10a0;10a5;L;L/250;Abstand;Kommentar
SCATT;03.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,7;2,7;50,0;25,0;55,0;27,5;478,0;376,0;;
SCATT;03.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;6,5;54,0;27,0;76,0;38,0;166,0;159,0;;
SCATT;09.02.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,8;5,2;48,0;24,0;78,0;39,0;275,0;281,0;;in der Abwärtsbewegung schießen.
SCATT;09.02.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,8;31,0;15,5;56,0;28,0;495,0;517,0;;in der Abwärtsbewegung schießen.
SCATT;10.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,1;6,4;24,0;12,0;59,0;29,5;159,0;167,0;;
SCATT;10.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,4;5,9;40,0;20,0;84,0;42,0;152,0;162,0;;
SCATT;10.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;6,3;65,0;32,5;87,0;43,5;144,0;142,0;;
SCATT;10.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,6;51,0;25,5;58,0;29,0;380,0;273,0;;
SCATT;10.02.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,8;5,4;37,0;18,5;70,0;35,0;314,0;335,0;;in der Abwärtsbewegung schießen.
SCATT;10.02.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,8;47,0;23,5;63,0;31,5;509,0;524,0;;in der Abwärtsbewegung schießen.
SCATT;11.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,8;4,9;37,0;18,5;74,0;37,0;182,0;166,0;;
SCATT;11.02.2018;Präzision;20;Ruger;RedDot;25;Stehend, links;9,7;4,7;50,0;25,0;78,0;39,0;167,0;154,0;;
SCATT;11.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,4;30,0;15,0;34,0;17,0;572,0;440,0;;
SCATT;11.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,0;24,0;12,0;21,0;10,5;754,0;460,0;;Zielzeit erster Schuss 2.3 Sekunden
SCATT;11.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,0;25,0;12,5;26,0;13,0;714,0;485,0;;zu schnell
SCATT;14.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,8;6,2;39,0;19,5;74,0;37,0;156,0;147,0;;
SCATT;14.02.2018;Speed;30;Ruger;RedDot;25;Stehend, links;10,0;2,1;30,0;15,0;27,0;13,5;622,0;477,0;;
SCATT;14.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;6,5;60,0;30,0;83,0;41,5;153,0;146,0;;
SCATT;15.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,0;4,3;32,0;16,0;62,0;31,0;186,0;169,0;;
SCATT;16.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;8,5;67,0;33,5;92,0;46,0;139,0;135,0;;Beste Serie 
SCATT;16.02.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,3;30,0;15,0;31,0;15,5;586,0;409,0;;Beste Serie 
SCATT;17.02.2018;Fallscheibe;30;Ruger;RedDot;25;Stehend, Rechts;8,7;1,4;6,0;3,0;7,0;3,5;1542,0;1270,0;;
SCATT;17.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;10,3;65,0;32,5;85,0;42,5;157,0;147,0;;
SCATT;18.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;10,0;7,9;60,0;30,0;82,0;41,0;156,0;144,0;;
SCATT;18.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,0;56,0;28,0;94,0;47,0;138,0;138,0;;
SCATT;18.02.2018;Steel Challenge;30;Ruger;RedDot;25;Stehend, Rechts;10,1;2,2;38,0;19,0;45,0;22,5;671,0;406,0;;Präzision zu hoch. eine 8 reicht, dafür mehr Speed.
SCATT;18.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,6;66,0;33,0;88,0;44,0;169,0;150,0;;
SCATT;18.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;9,0;57,0;28,5;87,0;43,5;136,0;130,0;;
SCATT;18.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;9,4;75,0;37,5;91,0;45,5;140,0;139,0;;Flacher Anschlag scheint ruhiger zu gehen. Weil von Pistole geübt?
SCATT;21.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,8;7,8;42,0;21,0;76,0;38,0;162,0;148,0;;
SCATT;21.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;7,8;43,0;21,5;90,0;45,0;133,0;141,0;;
SCATT;21.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,7;7,9;50,0;25,0;91,0;45,5;128,0;125,0;;
SCATT;22.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;10,3;74,0;37,0;97,0;48,5;112,0;103,0;;schnuff 
SCATT;22.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;10,5;71,0;35,5;95,0;47,5;114,0;115,0;;
SCATT;22.02.2018;Präzision;30;Ruger;RedDot;10;Stehend, Rechts;8,0;5,8;1,0;0,5;13,0;6,5;48,0;41,0;;Luftgewehrscheibe, Test wie ich bei LG schießen würden.
SCATT;23.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,9;9,2;59,0;29,5;93,0;46,5;120,0;123,0;;
SCATT;23.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,3;9,7;79,0;39,5;96,0;48,0;111,0;101,0;;
SCATT;24.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;11,8;82,0;41,0;96,0;63,0;122,0;122,0;16,0;
SCATT;24.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;5,7;54,0;27,0;70,0;27,0;192,0;158,0;30,0;
SCATT;25.02.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,6;8,1;49,0;24,5;81,0;38,0;150,0;170,0;25,0;
SCATT;25.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;6,7;35,0;17,5;75,0;33,0;272,0;269,0;23,0;
SCATT;25.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;8,2;54,0;27,0;80,0;34,0;249,0;249,0;23,0;
SCATT;25.02.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;3,5;36,0;18,0;47,0;14,0;600,0;491,0;63,0;
SCATT;25.02.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,9;4,8;22,0;11,0;39,0;12,0;409,0;425,0;42,0;
SCATT;25.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;8,9;6,4;28,0;14,0;56,0;18,0;363,0;366,0;37,0;
SCATT;26.02.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,4;53,0;26,5;67,0;25,0;597,0;498,0;47,0;
SCATT;26.02.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,5;5,0;40,0;20,0;74,0;27,0;281,0;274,0;23,0;
SCATT;26.02.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,6;58,0;29,0;71,0;31,0;492,0;468,0;54,0;
